datetime,num_people
2025-02-19 12:34:09.814225,4
2025-02-19 12:34:09.878407,5
2025-02-19 12:34:09.941333,4
2025-02-19 12:34:10.356834,5
2025-02-19 12:34:10.421790,4
2025-02-19 12:34:10.811469,5
2025-02-19 12:34:10.875352,4
2025-02-19 12:34:10.941735,6
2025-02-19 12:34:11.073844,5
2025-02-19 12:34:11.138575,4
2025-02-19 12:34:11.202447,5
2025-02-19 12:34:11.394376,3
2025-02-19 12:34:11.456692,5
2025-02-19 12:34:11.583190,4
2025-02-19 12:34:11.717914,5
2025-02-19 12:34:11.784034,3
2025-02-19 12:34:11.849478,4
2025-02-19 12:34:12.063728,6
2025-02-19 12:34:12.196682,3
2025-02-19 12:34:12.264620,5
2025-02-19 12:34:12.332863,4
2025-02-19 12:34:12.411350,3
2025-02-19 12:34:12.616729,2
2025-02-19 12:34:12.682556,4
2025-02-19 12:34:12.746484,3
2025-02-19 12:34:12.900396,1
2025-02-19 12:34:12.965167,2
2025-02-19 12:34:13.293367,3
2025-02-19 12:34:13.356135,2
2025-02-19 12:34:13.639599,3
2025-02-19 12:34:13.783271,2
2025-02-19 12:34:13.852181,3
2025-02-19 12:34:13.927523,2
2025-02-19 12:34:13.999231,4
2025-02-19 12:34:14.067811,1
2025-02-19 12:34:14.266619,2
2025-02-19 12:34:14.331298,3
2025-02-19 12:34:14.393589,4
2025-02-19 12:34:14.465559,3
2025-02-19 12:34:14.529392,4
2025-02-19 12:34:14.659684,3
2025-02-19 12:34:14.742181,5
2025-02-19 12:34:14.808116,6
2025-02-19 12:34:14.870671,5
2025-02-19 12:34:14.940552,4
2025-02-19 12:34:15.004495,3
2025-02-19 12:34:15.069834,1
2025-02-19 12:34:15.262483,0
2025-02-19 12:34:15.325840,1
2025-02-19 12:34:15.484696,2
2025-02-19 12:34:15.563356,3
2025-02-19 12:34:15.628478,2
2025-02-19 12:34:15.822423,1
2025-02-19 12:34:15.951409,2
2025-02-19 12:34:16.020558,1
2025-02-19 12:34:16.214224,3
2025-02-19 12:34:16.281781,2
2025-02-19 12:34:16.347739,1
2025-02-19 12:34:16.477042,2
2025-02-19 12:34:16.614838,1
2025-02-19 12:34:16.849579,2
2025-02-19 12:34:16.913860,1
2025-02-19 12:34:17.119868,2
2025-02-19 12:34:17.185444,1
2025-02-19 12:34:17.249102,2
2025-02-19 12:34:17.380296,0
2025-02-19 12:34:17.443208,1
2025-02-19 12:34:17.642773,2
2025-02-19 12:34:17.705332,1
